月份,全站GMV（AUD）,Google广告花费（AUD）,Google广告销售额（AUD）,ROAS,Total ACOS,目标ROAS,目标Total ACOS,展现次数,点击次数,转化次数,CTR,CVR,CPC（AUD）,CPA（AUD）,核心优化动作/备注
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
